Product Name,Date,Cults Link,Thangs Link,Image,Lamp,Apple Accessories,IKEA SKADIS,Space Organiser
RETRO MUSHROOM LAMP,2024-03-10,https://cults3d.com/en/3d-model/home/retro-mushroom-lamp,No,1.jpg,Yes,No,No,No
APPLE WATCH CHARGER MINI STAND,2024-03-27,https://cults3d.com/en/3d-model/gadget/apple-watch-charger-mini-stand,https://thangs.com/designer/Jer_Ho/3d-model/APPLE%20WATCH%20CHARGER%20MINI%20STAND-1065797,2.jpg,No,Yes,No,No
FLOWING HEART INCENSE DISH,2024-04-05,https://cults3d.com/en/3d-model/home/flowing-heart-incense-dish,No,3.jpg,No,No,No,No
IKEA SKADIS APPLE WATCH CHARGER HOLDER,2024-04-16,https://cults3d.com/en/3d-model/home/ikea-skadis-apple-watch-charger-holder,No,4.jpg,No,Yes,Yes,No
MINIMAL HEADPHONE HOLDER (SUPPORT APPLE AIRPODS MAX),2024-04-19,https://cults3d.com/en/3d-model/gadget/minimal-headphone-holder-support-apple-airpods-max,https://thangs.com/designer/Jer_Ho/3d-model/MINIMAL%20HEADPHONE%20HOLDER%20%28SUPPORT%20APPLE%20AIRPODS%20MAX%29-1065798,5.jpg,No,Yes,No,No
VINTAGE CRT MONITOR IPAD HOLDER,2024-04-28,https://cults3d.com/en/3d-model/gadget/vintage-crt-monitor-ipad-holder,https://thangs.com/designer/Jer_Ho/3d-model/VINTAGE%20CRT%20MONITOR%20IPAD%20HOLDER-1065794,6.jpg,No,Yes,No,Yes
MINIMAL FOLDABLE UMBRELLA STAND,2024-05-04,https://cults3d.com/en/3d-model/home/minimal-foldable-umbrella-stand,https://thangs.com/designer/Jer_Ho/3d-model/MINIMAL%20FOLDABLE%20UMBRELLA%20STAND-1065799,7.jpg,No,No,No,No
MAC FOLDER INSPIRED MAG SAFE CARD HOLDER,2024-05-21,https://cults3d.com/en/3d-model/gadget/mac-folder-inspired-mag-safe-card-holder,No,8.jpg,No,Yes,No,No
"PASSPORT, FOREIGN COINS, AND CURRENCY ORGANIZER | MADE FOR TRAVELLER",2024-05-30,https://cults3d.com/en/3d-model/home/passport-foreign-coins-and-currency-organizer-made-for-traveller-jerh-2,https://thangs.com/designer/Jer_Ho/3d-model/PASSPORT%2C%20FOREIGN%20COINS%2C%20AND%20CURRENCY%20ORGANIZER%20%7C%20MADE%20FOR%20TRAVELLER-1070231,9.jpg,No,No,No,Yes
SLEEK WAVE LAMP,2024-06-29,https://cults3d.com/en/3d-model/home/sleek-wave-lamp-jerh,https://thangs.com/designer/Jer_Ho/3d-model/sleek%20wave%20lamp-1093358,10.jpg,Yes,No,No,No
Spherical composition sleek wave holder,2024-07-01,https://cults3d.com/en/3d-model/home/spherical-composition-sleek-wave-holder-jerh-2,https://thangs.com/designer/Jer_Ho/3d-model/Spherical%20composition%20sleek%20wave%20holder-1118251,11.jpg,No,No,No,Yes
Desktop Organiser (Fit for IKEA Vattenkar),2024-07-04,https://cults3d.com/en/3d-model/home/desktop-organiser-fit-for-ikea-vattenkar,No,12.jpg,No,No,No,Yes
Sakura plate,2024-07-05,https://cults3d.com/en/3d-model/home/sakura-plate-jerh,https://thangs.com/designer/Jer_Ho/3d-model/Sakura%20plate-1118248,13.jpg,No,No,No,Yes
Minimal Ceiling Lamp Shield,2024-07-10,https://cults3d.com/en/3d-model/home/minimal-ceiling-lamp-shield,No,14.jpg,Yes,No,No,No
Minimal Tray Set,2024-07-11,https://cults3d.com/en/3d-model/home/minimal-tray-set,No,15.jpg,No,No,No,No
Magnetic Modular iPhone Storage System,2024-07-15,https://cults3d.com/en/3d-model/home/magnetic-modular-iphone-storage-system,https://thangs.com/designer/Jer_Ho/3d-model/20240715_tray.stl-1103496,16.jpg,No,No,No,Yes
BAMBU LAB COLOUR SWATCHES,2024-07-30,https://cults3d.com/en/3d-model/tool/bambu-lab-colour-swatches,https://thangs.com/designer/Jer_Ho/3d-model/BAMBU%20LAB%20COLOUR%20SWATCHES-1118227,17.jpg,No,No,No,No
Screw Tray and Storage Set,2024-08-04,https://cults3d.com/en/3d-model/tool/screw-tray-and-storage-set,https://thangs.com/designer/Jer_Ho/3d-model/Screw%20Tray%20and%20Storage%20Set-1118245,18.jpg,No,No,No,Yes
Minimal Desk Lamp Jelly Fish クラゲ,2024-10-21,https://cults3d.com/en/3d-model/home/minimal-desk-lamp-jelly-fish-jerh,https://thangs.com/designer/Jer_Ho/3d-model/Minimal%20Desk%20Lamp%20Jelly%20Fish%20%E3%82%AF%E3%83%A9%E3%82%B2-1118241,19.jpg,Yes,No,No,No
"""NOT CIGARETTE"" Cigarette Box",2024-08-15,https://cults3d.com/en/3d-model/tool/not-cigarette-cigarette-box,No,20.jpg,No,No,No,No
Minimal Desk Lamp Corn トウモロコシ,2024-08-18,https://cults3d.com/en/3d-model/home/minimal-desk-lamp-corn,https://thangs.com/designer/Jer_Ho/3d-model/Minimal%20Desk%20Lamp%20Corn%20%E3%83%88%E3%82%A6%E3%83%A2%E3%83%AD%E3%82%B3%E3%82%B7-1128434,21.jpg,Yes,No,No,No
Minimal Desk Lamp Vortex 渦巻き,2024-08-26,https://cults3d.com/en/3d-model/home/minimal-desk-lamp-vortex,https://thangs.com/designer/Jer_Ho/3d-model/Minimal%20Desk%20Lamp%20Vortex%20%E6%B8%A6%E5%B7%BB%E3%81%8D-1128430,22.jpg,Yes,No,No,No
"Minimal Lantern Bubble Tea タピる",2024-09-02,https://cults3d.com/en/3d-model/home/minimal-lantern-bubble-tea,No,23.jpg,No,No,No,No
Rotatable Mushroom Lamp,2024-09-05,https://cults3d.com/en/3d-model/home/rotatable-mushroom-lamp-jerh-2,https://thangs.com/designer/Jer_Ho/3d-model/Rotatable%20Mushroom%20Lamp-1147964,24.jpg,Yes,No,No,No
